"species","birdID","date","longitude","latitude","dayOfYear","delta","h","The_turbidity_factor","C_t","I_h","D_h","G_h"
"Black-bellied plover","19","18-07-2017",-165.7698,61.5309,199,-22.4927388151178,-0.771433494988299,0.805591786275104,0.979411236613302,-906.079249730143,5626.83747969558,4720.75822996544
"Black-bellied plover","19","28-07-2017",-165.8044,61.5115,209,17.5998909721796,1.50010820435815,0.788494716003335,1.03199524125306,974.001028489275,47.4436046219834,1021.44463311126
"Black-bellied plover","19","28-07-2017",-165.8937,61.4921,209,17.5998909721796,1.48070820435815,0.788494716003335,1.03199524125306,972.281684696494,47.4083590947792,1019.69004379127
"Black-bellied plover","19","29-07-2017",-165.8253,61.5315,210,-3.20583158187053,-0.334682183279772,0.797367092359007,1.02696601402531,-546.210977629363,0.0275020820870443,-546.183475547276
"Black-bellied plover","19","30-07-2017",-165.8954,61.5021,211,-21.1393186062169,0.610786713912626,0.805014634800092,0.997144357862833,501.683558232203,36.4017855485442,538.085343780747
"Black-bellied plover","19","04-08-2017",-165.7934,61.5162,216,5.34713722498369,1.19119133719493,0.79371977090619,1.03167818806764,903.902962822778,46.1447204047445,950.047683227523
"Black-bellied plover","19","06-08-2017",-162.3038,58.4246,218,-23.1073568812946,1.42134421475492,0.805853883531469,0.97558850714503,931.812247208681,48.2874503004142,980.099697509095
"Black-bellied plover","19","08-08-2017",-135.6769,43.3892,220,12.7009431891341,0.843126601762841,0.790583819535551,0.988639342986334,670.359990505586,41.1680557105615,711.528046216148
"Black-bellied plover","19","10-08-2017",-116.3119,31.1111,222,13.1872416041474,0.645098801108779,0.79037644281273,1.03386689580964,541.059180879955,36.6721034662103,577.731284346165
"Black-bellied plover","19","12-08-2017",-116.311,31.118,224,-23.0008835126724,-0.85898792514897,0.805808479109882,0.98317345390396,-973.631002033671,2536.8601144276,1563.22911239393
